"","project","year","fellow"
"3811","
              To study government policies regarding mineral resources and governmental administration of the mining industry - UK, Canada, USA, Mexico, South Africa, Zambia
            ","1975","DAVIES, Edward"
"3812","
              To study modern overseas developments in voluntary agencies in youth work, more particularly in respect of meeting community needs, programme developments and liaison with government policy - USA, Canada, Germany
            ","1975","DAVIS, David"
"3813","
              To undertake studies in playing trombone - UK, Germany
            ","1975","DE HANN, Simone"
"3814","
              To study the application of principles and to make personal contact with workers in the field of aerial sowing of pastures - New Zealand, USA
            ","1975","DOWLING, Peter"
"3815","
              To investigate overseas methods used in the diagnosis, prevention and treatment of diseases affecting wild animals - USA, UK, Germany
            ","1975","FINNIE, Edward"
"3816","
              To consult distinguished teachers of the flute on playing techniques - UK, France, Hungary, Netherlands, Japan
            ","1975","FISENDEN, Owen"
"3817","
              To study the techniques used and results obtained in research carried out in young-driver accident involvement - USA, UK, Sweden
            ","1975","FISHER, Roslyn"
"3818","
              To study the effects of exercise on asthma patients - USA, UK, Canada, Sweden
            ","1975","FITCH, Kenneth"
"3819","
              To gain first hand experience in echocardiography of a practical kind and to survey unpublished theoretical information relating to this field - USA, UK
            ","1975","GALLANT, Michelle"
"3820","
              To undertake observations and enquiries which will lead to improving effectiveness as a senior announcer in the overseas service, Radio Australia - Japan, UK, Germany, Netherlands, Sweden
            ","1975","GLOVER, Keith"
"3821","
              To study modern developments in therapeutic methods practiced by psychiatric nurses as training methods and administration procedures adopted in integrating the work of such nurses with that of other hospital nurses - USA, Canada, UK
            ","1975","GRAY, Rosemary"
"3822","
              To attend a conference on genetics applied to livestock production and then study work in progress in this field - Israel, Spain, Germany, UK
            ","1975","HAMMOND, Keith"
"3823","
              To study and observe overseas methods used in the treatment of domestic waste from individual properties and allied pollution control measures - USA, UK
            ","1975","HAWKINS, Douglas"
"3824","
              To study the latest advances in forensic biology as used in the world's leading laboratories in this field - UK, Japan, Canada
            ","1975","HORTON, Laurence"
"3825","
              To study recent improvements in design practice and constructional technology in small boat-building - UK
            ","1975","HUTCHISON, Brian"
"3826","
              To study the techniques of restoration of plaster work in early development buildings - UK, Singapore, USA, Canada, France, Italy, Germany, Belgium, Austria
            ","1975","HUXLEY, Brian"
"3827","
              To study the production from and utilisation of rangelands including the accessment of stock density thereon - South Africa, USA, Mexico
            ","1975","HYDE, Keith"
"3828","
              To study planned approaches leading to worthwhile (and possibly new) community groupings in such situations as camps, and other small associations of young adults and families - USA, UK, Canada, Mexico
            ","1975","JACKSON, Patrick"
"3829","
              To meet and discuss with experts who are consultants and advisers in hydrology, more particularly in computer techniques used in this field - USA, Canada, UK
            ","1975","KALF, Frans"
"3830","
              To undertake a one year advanced course for social workers at the Tavistock Clinic, London - UK
            ","1975","LANNOY, Kerry"
